agbd,agbd_se,lat,lon,ndvi_postmonsoon,evi_postmonsoon,ndvi_dryseason,evi_dryseason,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
1.8173799514770508,3.0028939247131348,21.514314186430997,72.13909660180767,0.47045222,0.29888015416975133,0.4008683,0.2599962455415806,0.0625,0.09020000000000002,0.11730000000000002,0.150975,0.2283,0.26285000000000003,0.27426666666666666,0.27770000000000006,0.2741,0.21807500000000002,0.14225000000000002
2.0144050121307373,3.0020179748535156,21.514763344073057,72.13954575944972,0.5069662,0.3248137285264059,0.43465668,0.2912565935195123,0.0646,0.09135000000000001,0.1106,0.15085,0.24905,0.27770000000000006,0.2806666666666667,0.2918,0.2783,0.21264,0.14656666666666668
1.3916250467300415,3.005038022994995,21.514763344073057,72.14224070530209,0.4433458,0.26302872125181076,0.4483848,0.277452025586354,0.0562,0.08644166666666667,0.09605,0.14140000000000003,0.21955000000000002,0.24778333333333336,0.25220000000000004,0.25873999999999997,0.2677142857142857,0.22050000000000003,0.1427
1.1715970039367676,3.006324052810669,21.514987922894086,72.1348296042081,0.5177647,0.32940210427532435,0.29958984,0.189325799009824,0.06805,0.10045000000000001,0.1423,0.17465000000000003,0.225,0.25524,0.26403333333333334,0.27231250000000007,0.28559999999999997,0.24300000000000002,0.18967499999999998
2.4385130405426025,3.0003249645233154,21.514987922894086,72.13977033827075,0.4270121,0.25454763816789516,0.30387208,0.19302470931798843,0.07070000000000001,0.100075,0.13678333333333334,0.16100000000000003,0.22765000000000002,0.245075,0.25620000000000004,0.2496,0.25795,0.2114,0.17016
1.8878649473190308,3.002573013305664,21.515437080536145,72.14201612648105,0.551917,0.33042705276360496,0.42604858,0.26493475295349045,0.056725,0.08420000000000001,0.10400000000000001,0.13740000000000002,0.20413333333333333,0.2311,0.25839999999999996,0.24698333333333333,0.26658,0.21735000000000002,0.1487
2.8369579315185547,2.9989230632781982,21.515886238178204,72.13393128892397,0.46681857,0.29329921351431154,0.32656342,0.2089570653067939,0.06988,0.09940000000000002,0.130975,0.18086666666666665,0.22015000000000007,0.2412,0.258,0.259125,0.2688400000000001,0.27215,0.19392000000000004
6.163806915283203,2.9911510944366455,21.515886238178204,72.14044407473384,0.33219653,0.21082158621671646,0.28040132,0.18003059742726174,0.077075,0.1067,0.13866666666666666,0.16185,0.22910000000000003,0.2564,0.24673333333333336,0.26803333333333335,0.24716666666666667,0.23886000000000002,0.1806
1.22843599319458,3.0059781074523926,21.516335395820263,72.13393128892397,0.4187495,0.2396651290538399,0.3524498,0.2168195051556772,0.0627,0.09227999999999999,0.1187,0.16762500000000002,0.2274166666666667,0.25382499999999997,0.24791250000000004,0.26895,0.25982857142857146,0.24129,0.17198333333333332
1.1715970039367676,3.006324052810669,21.516335395820263,72.14066865355487,0.37574315,0.22523766672309492,0.5096118,0.3479372713724428,0.05616000000000001,0.09015000000000001,0.09885,0.13198571428571432,0.2431,0.27890000000000004,0.3043,0.3024,0.28615,0.21430000000000002,0.142625
